i,x1,x2,x3,x4,x5,x
0,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.2
1,6.00e+00,1.15e+00,1.30e+00,1.37e+00,1.20e+00,1.2
2,9.74e-01,1.21e+00,1.20e+00,1.20e+00,1.20e+00,1.2
3,1.19e+00,1.20e+00,1.20e+00,1.20e+00,1.20e+00,1.2
