n,sum_1,sum_2,INT,delta sum_1,delta sum_2
10,200.000000,133.333333,3.333333,5.90e+03,3.90e+03
100,20.000246,13.333661,3.333333,5.00e+02,3.00e+02
1000,3.724051,3.366018,3.333333,1.17e+01,9.81e-01
10000,3.337332,3.333337,3.333333,1.20e-01,1.15e-04
100000,3.333373,3.333333,3.333333,1.20e-03,1.16e-08
1000000,3.333334,3.333333,3.333333,1.20e-05,9.93e-11
10000000,3.333333,3.333333,3.333333,1.20e-07,7.30e-11
