N,S,N*a,D,d
8600,1444.7999999997674,1444.8000000000002,2.3283064365386963e-10,1.6115077772277795e-11
8700,1461.5999999997566,1461.6000000000001,2.4351720639970154e-10,1.6661002079892002e-11
8800,1478.399999999746,1478.4,2.5420376914553344e-10,1.7194519016878613e-11
8900,1495.1999999997352,1495.2,2.6489033189136535e-10,1.771604680921384e-11
9000,1511.9999999997244,1512.0,2.7557689463719726e-10,1.822598509505273e-11
9100,1528.7999999997137,1528.8000000000002,2.864908310584724e-10,1.8739588635431212e-11
9200,1545.599999999703,1545.6000000000001,2.971773938043043e-10,1.922731585172776e-11
9300,1562.3999999996922,1562.4,3.078639565501362e-10,1.97045543106846e-11
9400,1579.1999999996815,1579.2,3.185505192959681e-10,2.0171638759876398e-11
9500,1595.9999999996708,1596.0,3.292370820418e-10,2.0628889852243108e-11
9600,1612.79999999966,1612.8000000000002,3.4015101846307516e-10,2.1090712950339478e-11
9700,1629.5999999996493,1629.6000000000001,3.5083758120890707e-10,2.1529061193477358e-11
9800,1646.3999999996386,1646.4,3.61524143954739e-10,2.195846355410222e-11
9900,1663.1999999996278,1663.2,3.722107067005709e-10,2.2379191119562944e-11
